cite_key,title,year,venue,peer_reviewed,doi_or_url,verification_status,included
Adu_2023,"RADIUS: Risk-Aware, Real-Time, Reachability-Based Motion Planning",2023,Robotics: Science and Systems XIX,yes,10.15607/rss.2023.xix.083,verified_doi,yes
Gaebert_2023,Parameter Optimization for Manipulator Motion Planning using a Novel Benchmark Set,2023,2023 IEEE International Conference on Robotics and Automation (ICRA),yes,10.1109/icra48891.2023.10160694,verified_doi,yes
Gao_2023,Improved Deep Deterministic Policy Gradient for Dynamic Obstacle Avoidance of Mobile Robot,2023,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",yes,10.1109/tsmc.2022.3230666,verified_doi,yes
Han_2023,Hybrid path planning algorithm for mobile robot based on A* algorithm fused with DWA,2023,"2023 IEEE 3rd International Conference on Information Technology, Big Data and Artificial Intelligence (ICIBA)",yes,10.1109/iciba56860.2023.10165386,verified_doi,yes
Ho_2023,Planning with SiMBA: Motion Planning under Uncertainty for Temporal Goals using Simplified Belief Guides,2023,2023 IEEE International Conference on Robotics and Automation (ICRA),yes,10.1109/icra48891.2023.10160897,verified_doi,yes
Huang_2023,FAEL: Fast Autonomous Exploration for Large-scale Environments With a Mobile Robot,2023,IEEE Robotics and Automation Letters,yes,10.1109/lra.2023.3236573,verified_doi,yes
Jiang_2023,Path Planning Method for Mobile Robot Based on a Hybrid Algorithm,2023,Journal of Intelligent \& Robotic Systems,yes,10.1007/s10846-023-01985-1,verified_doi,yes
Karwowski_2023,SRPB: a benchmark for the quantitative evaluation of a social robot navigation,2023,2023 27th International Conference on Methods and Models in Automation and Robotics (MMAR),yes,10.1109/mmar58394.2023.10242422,verified_doi,yes
Liu_2023,Path planning techniques for mobile robots: Review and prospect,2023,Expert Systems with Applications,yes,10.1016/j.eswa.2023.120254,verified_doi,yes
Loganathan_2023,A systematic review on recent advances in autonomous mobile robot navigation,2023,"Engineering Science and Technology, an International Journal",yes,10.1016/j.jestch.2023.101343,verified_doi,yes
Martini_2023,PIC4rl-gym: a ROS2 Modular Framework for Robots Autonomous Navigation with Deep Reinforcement Learning,2023,"2023 3rd International Conference on Computer, Control and Robotics (ICCCR)",yes,10.1109/icccr56747.2023.10193996,verified_doi,yes
Nakka_2023,Trajectory Optimization of Chance-Constrained Nonlinear Stochastic Systems for Motion Planning Under Uncertainty,2023,IEEE Transactions on Robotics,yes,10.1109/tro.2022.3197072,verified_doi,yes
R_mer_2023,Vision-Based Uncertainty-Aware Motion Planning Based on Probabilistic Semantic Segmentation,2023,IEEE Robotics and Automation Letters,yes,10.1109/lra.2023.3322899,verified_doi,yes
Tan_2023,Deep Reinforcement Learning for Decentralized Multi-Robot Exploration With Macro Actions,2023,IEEE Robotics and Automation Letters,yes,10.1109/lra.2022.3224667,verified_doi,yes
Zhang_2023,Crowd-Aware Mobile Robot Navigation Based on Improved Decentralized Structured RNN via Deep Reinforcement Learning,2023,Sensors,yes,10.3390/s23041810,verified_doi,yes
Bai_2024,Path Planning of Autonomous Mobile Robot in Comprehensive Unknown Environment Using Deep Reinforcement Learning,2024,IEEE Internet of Things Journal,yes,10.1109/jiot.2024.3379361,verified_doi,yes
Bi_2024,CURE: A Hierarchical Framework for Multi-Robot Autonomous Exploration Inspired by Centroids of Unknown Regions,2024,IEEE Transactions on Automation Science and Engineering,yes,10.1109/tase.2023.3285300,verified_doi,yes
Chen_2024,FogROS2-LS: A Location-Independent Fog Robotics Framework for Latency Sensitive ROS2 Applications,2024,2024 IEEE International Conference on Robotics and Automation (ICRA),yes,10.1109/icra57147.2024.10610759,verified_doi,yes
Chipade_2024,WiTHy A*: Winding-Constrained Motion Planning for Tethered Robot using Hybrid A*,2024,2024 IEEE International Conference on Robotics and Automation (ICRA),yes,10.1109/icra57147.2024.10611175,verified_doi,yes
Li_2024,Dynamic path planning of mobile robots using adaptive dynamic programming,2024,Expert Systems with Applications,yes,10.1016/j.eswa.2023.121112,verified_doi,yes
Mayer_2024,CoBRA: A Composable Benchmark for Robotics Applications,2024,2024 IEEE International Conference on Robotics and Automation (ICRA),yes,10.1109/icra57147.2024.10610776,verified_doi,yes
Polykretis_2024,Mapless mobile robot navigation at the edge using self-supervised cognitive map learners,2024,Frontiers in Robotics and AI,yes,10.3389/frobt.2024.1372375,verified_doi,yes
Takemura_2024,Uncertainty-Aware Trajectory Planning: Using Uncertainty Quantification and Propagation in Traversability Prediction of Planetary Rovers,2024,IEEE Robotics \& Automation Magazine,yes,10.1109/mra.2023.3341289,verified_doi,yes
Theurkauf_2024,Chance-Constrained Multi-Robot Motion Planning Under Gaussian Uncertainties,2024,IEEE Robotics and Automation Letters,yes,10.1109/lra.2023.3337700,verified_doi,yes
Xue_2024,Combining Motion Planner and Deep Reinforcement Learning for UAV Navigation in Unknown Environment,2024,IEEE Robotics and Automation Letters,yes,10.1109/lra.2023.3334978,verified_doi,yes
Yin_2024,Autonomous navigation of mobile robots in unknown environments using off-policy reinforcement learning with curriculum learning,2024,Expert Systems with Applications,yes,10.1016/j.eswa.2024.123202,verified_doi,yes
Zheng_2024,IBBT: Informed Batch Belief Trees for Motion Planning Under Uncertainty,2024,2024 IEEE International Conference on Robotics and Automation (ICRA),yes,10.1109/icra57147.2024.10610244,verified_doi,yes
Zhou_2024,An optimized Q-Learning algorithm for mobile robot local path planning,2024,Knowledge-Based Systems,yes,10.1016/j.knosys.2024.111400,verified_doi,yes
Hu_2025,Deep Reinforcement Learning-Based Mapless Navigation for Mobile Robot in Unknown Environment With Local Optima,2025,IEEE Robotics and Automation Letters,yes,10.1109/lra.2024.3511437,verified_doi,yes
Hu_2025_2,Improved Exponential and Cost-Weighted Hybrid Algorithm for Mobile Robot Path Planning,2025,Sensors,yes,10.3390/s25082579,verified_doi,yes
K_stner_2025,Demonstrating Arena 5.0: A Photorealistic ROS2 Simulation Framework for Developing and Benchmarking Social Navigation,2025,Robotics: Science and Systems XXI,yes,10.15607/rss.2025.xxi.092,verified_doi,yes
Karakaya_2025,Hybrid Boustrophedon and Direction-Biased Region Transitions for Mobile Robot Coverage Path Planning: A Region-Based Multi-Cost Framework,2025,Applied Sciences,yes,10.3390/app152312666,verified_doi,yes
Shcherbyna_2025,Arena 4.0: a Comprehensive Ros2 Development and Benchmarking Platform for Human-Centric Navigation Using Generative-Model-Based Environment Generation,2025,2025 IEEE International Conference on Robotics and Automation (ICRA),yes,10.1109/icra55743.2025.11127635,verified_doi,yes
Wang_2025,OpenBench: A New Benchmark and Baseline for Semantic Navigation in Smart Logistics,2025,2025 IEEE International Conference on Robotics and Automation (ICRA),yes,10.1109/icra55743.2025.11127476,verified_doi,yes
Ward_2025,Exploring ROS2 Based Robot Navigation: Parameter Tuning Using the NAV2 Package,2025,Volume 5: 21st IEEE/ASME International Conference on Mechatronic and Embedded Systems and Applications (MESA); 49th Mechanisms and Robotics Conference (MR),yes,10.1115/detc2025-168734,verified_doi,yes
Xue_2025,Robot Mapless Navigation in VUCA Environments via Deep Reinforcement Learning,2025,IEEE Transactions on Industrial Electronics,yes,10.1109/tie.2024.3404113,verified_doi,yes
Zhang_2025,DRL-DCLP: A Deep Reinforcement Learning-Based Dimension-Configurable Local Planner for Robot Navigation,2025,IEEE Robotics and Automation Letters,yes,10.1109/lra.2025.3544927,verified_doi,yes
